node,experts,accuracy,delta_pts,delta_rel_pct,n
0,0-3,0.841007,-1.247,-1.461,1390
1,4-7,0.851079,-0.24,-0.281,1390
2,8-11,0.859712,0.624,0.731,1390
3,12-15,0.831655,-2.182,-2.557,1390
4,16-19,0.852518,-0.096,-0.112,1390
5,20-23,0.861151,0.767,0.899,1390
6,24-27,0.843165,-1.031,-1.208,1390
7,28-31,0.84964,-0.384,-0.45,1390
8,32-35,0.848201,-0.528,-0.618,1390
9,36-39,0.851079,-0.24,-0.281,1390
10,40-43,0.854676,0.12,0.14,1390
11,44-47,0.853237,-0.024,-0.028,1390
12,48-51,0.847482,-0.6,-0.702,1390
13,52-55,0.851799,-0.168,-0.197,1390
14,56-59,0.841727,-1.175,-1.377,1390
15,60-63,0.838849,-1.463,-1.714,1390
16,64-67,0.852518,-0.096,-0.112,1390
17,68-71,0.861151,0.767,0.899,1390
18,72-75,0.827338,-2.614,-3.063,1390
19,76-79,0.871942,1.847,2.164,1390
20,80-83,0.851799,-0.168,-0.197,1390
21,84-87,0.854676,0.12,0.14,1390
22,88-91,0.860432,0.695,0.815,1390
23,92-95,0.858993,0.552,0.646,1390
24,96-99,0.854676,0.12,0.14,1390
25,100-103,0.856835,0.336,0.393,1390
26,104-107,0.856115,0.264,0.309,1390
27,108-111,0.855396,0.192,0.225,1390
28,112-115,0.851799,-0.168,-0.197,1390
29,116-119,0.84964,-0.384,-0.45,1390
30,120-123,0.842446,-1.103,-1.292,1390
31,124-127,0.851079,-0.24,-0.281,1390
