mode,node,n,score,fail_to_pass,pass_to_fail,net_problems,delta_pts,sigma,p_value,on_unstable,hard_to_fail,net_corrected,delta_corrected_pts
reroute,28,437,0.3684210526315789,21,41,-20,-4.576659038901602,-2.54000254000381,0.015134080997447081,35,11,-25.166666666666668,-5.758962623951183
reroute,7,437,0.37757437070938216,20,36,-16,-3.6613272311212817,-2.138089935299395,0.04404654610215078,23,6,-21.166666666666668,-4.8436308161708626
reroute,5,437,0.39588100686498856,20,28,-8,-1.8306636155606408,-1.1547005383792517,0.31232680747326924,32,9,-13.166666666666668,-3.0129672006102215
reroute,12,437,0.39588100686498856,21,29,-8,-1.8306636155606408,-1.131370849898476,0.3222363203575469,24,7,-13.166666666666668,-3.0129672006102215
reroute,24,437,0.39588100686498856,18,26,-8,-1.8306636155606408,-1.2060453783110545,0.2912152365458951,25,6,-13.166666666666668,-3.0129672006102215
reroute,14,437,0.39816933638443935,24,31,-7,-1.6018306636155606,-0.9438798074485389,0.41875418826901556,35,6,-12.166666666666668,-2.7841342486651413
reroute,1,437,0.40045766590389015,15,21,-6,-1.3729977116704806,-1.0,0.40503224614076316,28,7,-11.166666666666668,-2.555301296720061
reroute,2,437,0.40045766590389015,17,23,-6,-1.3729977116704806,-0.9486832980505138,0.42959050784338615,29,10,-11.166666666666668,-2.555301296720061
reroute,19,437,0.40045766590389015,23,29,-6,-1.3729977116704806,-0.8320502943378437,0.48845566937989204,32,7,-11.166666666666668,-2.555301296720061
reroute,20,437,0.40274599542334094,18,23,-5,-1.1441647597254005,-0.7808688094430304,0.5327092552361137,28,6,-10.166666666666668,-2.326468344774981
reroute,0,437,0.40503432494279173,19,23,-4,-0.9153318077803204,-0.6172133998483676,0.6439689563703723,31,7,-9.166666666666668,-2.097635392829901
reroute,8,437,0.40503432494279173,20,24,-4,-0.9153318077803204,-0.6030226891555273,0.651587827208914,31,7,-9.166666666666668,-2.097635392829901
reroute,9,437,0.40503432494279173,16,20,-4,-0.9153318077803204,-0.6666666666666666,0.617719317029696,22,5,-9.166666666666668,-2.097635392829901
reroute,22,437,0.40503432494279173,17,21,-4,-0.9153318077803204,-0.6488856845230502,0.6271025701571489,26,4,-9.166666666666668,-2.097635392829901
reroute,18,437,0.4073226544622426,16,19,-3,-0.6864988558352403,-0.50709255283711,0.7358788008568808,26,5,-8.166666666666668,-1.868802440884821
reroute,21,437,0.4073226544622426,16,19,-3,-0.6864988558352403,-0.50709255283711,0.7358788008568808,22,7,-8.166666666666668,-1.868802440884821
reroute,3,437,0.4096109839816934,18,20,-2,-0.4576659038901602,-0.3244428422615251,0.8714146793645341,24,8,-7.166666666666667,-1.639969488939741
reroute,23,437,0.41189931350114417,18,19,-1,-0.2288329519450801,-0.1643989873053573,1.0,25,6,-6.166666666666667,-1.4111365369946607
reroute,10,437,0.41418764302059496,19,19,0,0.0,0.0,1.0,24,7,-5.166666666666667,-1.1823035850495807
reroute,26,437,0.41418764302059496,21,21,0,0.0,0.0,1.0,31,5,-5.166666666666667,-1.1823035850495807
reroute,31,437,0.41418764302059496,20,20,0,0.0,0.0,1.0,28,7,-5.166666666666667,-1.1823035850495807
reroute,13,437,0.41876430205949655,24,22,2,0.4576659038901602,0.29488391230979427,0.8829959121223965,28,9,-3.166666666666667,-0.7246376811594203
reroute,29,437,0.41876430205949655,24,22,2,0.4576659038901602,0.29488391230979427,0.8829959121223965,31,7,-3.166666666666667,-0.7246376811594203
reroute,25,437,0.42105263157894735,25,22,3,0.6864988558352403,0.4375949744936837,0.7708669945730264,29,7,-2.166666666666667,-0.49580472921434027
reroute,11,437,0.4233409610983982,25,21,4,0.9153318077803204,0.5897678246195885,0.6587380770236564,32,5,-1.166666666666667,-0.2669717772692602
reroute,4,437,0.425629290617849,22,17,5,1.1441647597254005,0.8006407690254357,0.5223973804968409,25,4,-0.16666666666666696,-0.03813882532418008
reroute,6,437,0.425629290617849,26,21,5,1.1441647597254005,0.7293249574894728,0.5600646295802107,26,6,-0.16666666666666696,-0.03813882532418008
reroute,17,437,0.425629290617849,27,22,5,1.1441647597254005,0.7142857142857143,0.5681724128491652,32,5,-0.16666666666666696,-0.03813882532418008
reroute,27,437,0.425629290617849,19,14,5,1.1441647597254005,0.8703882797784892,0.48685024166479707,22,6,-0.16666666666666696,-0.03813882532418008
reroute,30,437,0.4279176201372998,30,24,6,1.3729977116704806,0.816496580927726,0.4966174353179338,32,6,0.833333333333333,0.1906941266209
reroute,16,437,0.4302059496567506,25,18,7,1.6018306636155606,1.0674899923282326,0.3603776529357674,32,6,1.833333333333333,0.41952707856598015
reroute,15,437,0.43478260869565216,25,16,9,2.059496567505721,1.4055638569974547,0.21102359760880063,29,6,3.833333333333333,0.8771929824561403
