mode,node,score,delta_pts,delta_rel_pct,sigma,dead_slot_rate,lost_gate_mass_frac,num,elapsed_s
reroute,28,0.3766519823788546,-5.212922173274598,-12.157534246575347,-2.244347251976936,0.0,0.0,454,3035.3
reroute,7,0.3788546255506608,-4.992657856093979,-11.643835616438356,-2.149515677949741,0.0,0.0,454,3054.8
reroute,5,0.3964757709251101,-3.2305433186490484,-7.534246575342472,-1.3908630857321864,0.0,0.0,454,2909.8
reroute,22,0.3986784140969163,-3.01027900146843,-7.020547945205482,-1.2960315117049914,0.0,0.0,454,2612.8
reroute,24,0.3986784140969163,-3.01027900146843,-7.020547945205482,-1.2960315117049914,0.0,0.0,454,3535.7
reroute,12,0.4008810572687225,-2.7900146842878115,-6.506849315068491,-1.2011999376777962,0.0,0.0,454,2952.8
reroute,0,0.40308370044052866,-2.569750367107193,-5.993150684931502,-1.106368363650601,0.0,0.0,454,2680.9
reroute,14,0.40308370044052866,-2.569750367107193,-5.993150684931502,-1.106368363650601,0.0,0.0,454,2904.2
reroute,18,0.40308370044052866,-2.569750367107193,-5.993150684931502,-1.106368363650601,0.0,0.0,454,2914.1
reroute,19,0.40308370044052866,-2.569750367107193,-5.993150684931502,-1.106368363650601,0.0,0.0,454,3923.6
reroute,8,0.4052863436123348,-2.34948604992658,-5.479452054794525,-1.0115367896234082,0.0,0.0,454,2962.8
reroute,1,0.40748898678414097,-2.129221732745962,-4.965753424657534,-0.916705215596213,0.0,0.0,454,2876.7
reroute,2,0.40969162995594716,-1.9089574155653433,-4.452054794520544,-0.8218736415690178,0.0,0.0,454,3135.0
reroute,3,0.40969162995594716,-1.9089574155653433,-4.452054794520544,-0.8218736415690178,0.0,0.0,454,6120.1
reroute,20,0.40969162995594716,-1.9089574155653433,-4.452054794520544,-0.8218736415690178,0.0,0.0,454,2991.7
reroute,21,0.41409691629955947,-1.468428781204112,-3.4246575342465757,-0.6322104935146298,0.0,0.0,454,2889.0
reroute,9,0.41629955947136565,-1.2481644640234935,-2.910958904109586,-0.5373789194874347,0.0,0.0,454,3069.1
reroute,23,0.41629955947136565,-1.2481644640234935,-2.910958904109586,-0.5373789194874347,0.0,0.0,454,2718.2
reroute,26,0.4185022026431718,-1.0279001468428806,-2.3972602739726083,-0.4425473454602418,0.0,0.0,454,3447.8
reroute,4,0.42070484581497797,-0.8076358296622621,-1.883561643835618,-0.3477157714330466,0.0,0.0,454,2752.1
reroute,13,0.42070484581497797,-0.8076358296622621,-1.883561643835618,-0.3477157714330466,0.0,0.0,454,2845.5
reroute,31,0.42070484581497797,-0.8076358296622621,-1.883561643835618,-0.3477157714330466,0.0,0.0,454,3045.5
reroute,6,0.42290748898678415,-0.5873715124816437,-1.3698630136986278,-0.25288419740585144,0.0,0.0,454,2964.9
reroute,10,0.42290748898678415,-0.5873715124816437,-1.3698630136986278,-0.25288419740585144,0.0,0.0,454,3026.8
reroute,25,0.42290748898678415,-0.5873715124816437,-1.3698630136986278,-0.25288419740585144,0.0,0.0,454,3027.5
reroute,29,0.42290748898678415,-0.5873715124816437,-1.3698630136986278,-0.25288419740585144,0.0,0.0,454,2958.6
reroute,17,0.4251101321585903,-0.36710719530103075,-0.8561643835616506,-0.15805262337865864,0.0,0.0,454,2863.0
reroute,30,0.4251101321585903,-0.36710719530103075,-0.8561643835616506,-0.15805262337865864,0.0,0.0,454,3314.0
reroute,11,0.42731277533039647,-0.1468428781204123,-0.3424657534246602,-0.06322104935146346,0.0,0.0,454,2904.3
reroute,27,0.42951541850220265,0.07342143906020615,0.1712328767123301,0.03161052467573173,0.0,0.0,454,2853.8
reroute,15,0.43612334801762115,0.734214390602056,1.7123287671232879,0.3161052467573149,0.0,0.0,454,2722.2
reroute,16,0.43832599118942733,0.9544787077826744,2.226027397260278,0.4109368207845101,0.0,0.0,454,3275.6
