node,experts,accuracy,delta_pts,delta_rel_pct,n
0,0-3,0.403084,-2.57,-5.993,454
1,4-7,0.407489,-2.129,-4.966,454
2,8-11,0.409692,-1.909,-4.452,454
3,12-15,0.409692,-1.909,-4.452,454
4,16-19,0.420705,-0.808,-1.884,454
5,20-23,0.396476,-3.231,-7.534,454
6,24-27,0.422907,-0.587,-1.37,454
7,28-31,0.378855,-4.993,-11.644,454
8,32-35,0.405286,-2.349,-5.479,454
9,36-39,0.4163,-1.248,-2.911,454
10,40-43,0.422907,-0.587,-1.37,454
11,44-47,0.427313,-0.147,-0.342,454
12,48-51,0.400881,-2.79,-6.507,454
13,52-55,0.420705,-0.808,-1.884,454
14,56-59,0.403084,-2.57,-5.993,454
15,60-63,0.436123,0.734,1.712,454
16,64-67,0.438326,0.954,2.226,454
17,68-71,0.42511,-0.367,-0.856,454
18,72-75,0.403084,-2.57,-5.993,454
19,76-79,0.403084,-2.57,-5.993,454
20,80-83,0.409692,-1.909,-4.452,454
21,84-87,0.414097,-1.468,-3.425,454
22,88-91,0.398678,-3.01,-7.021,454
23,92-95,0.4163,-1.248,-2.911,454
24,96-99,0.398678,-3.01,-7.021,454
25,100-103,0.422907,-0.587,-1.37,454
26,104-107,0.418502,-1.028,-2.397,454
27,108-111,0.429515,0.073,0.171,454
28,112-115,0.376652,-5.213,-12.158,454
29,116-119,0.422907,-0.587,-1.37,454
30,120-123,0.42511,-0.367,-0.856,454
31,124-127,0.420705,-0.808,-1.884,454
